"AGEGRP","Year","Population","Race","Sex"
"1","1900",4016000,"White","Male"
"1","1900",3913000,"White","Female"
"1","1900",623000,"NonWhite","Male"
"1","1900",629000,"NonWhite","Female"
"2","1900",3866000,"White","Male"
"2","1900",3779000,"White","Female"
"2","1900",617000,"NonWhite","Male"
"2","1900",618000,"NonWhite","Female"
"3","1900",3522000,"White","Male"
"3","1900",3443000,"White","Female"
"3","1900",564000,"NonWhite","Male"
"3","1900",557000,"NonWhite","Female"
"4","1900",3263000,"White","Male"
"4","1900",3289000,"White","Female"
"4","1900",494000,"NonWhite","Male"
"4","1900",522000,"NonWhite","Female"
"5","1900",3167000,"White","Male"
"5","1900",3201000,"White","Female"
"5","1900",486000,"NonWhite","Male"
"5","1900",529000,"NonWhite","Female"
"6","1900",2963000,"White","Male"
"6","1900",2832000,"White","Female"
"6","1900",386000,"NonWhite","Male"
"6","1900",391000,"NonWhite","Female"
"7","1900",2635000,"White","Male"
"7","1900",2395000,"White","Female"
"7","1900",286000,"NonWhite","Male"
"7","1900",273000,"NonWhite","Female"
"8","1900",2376000,"White","Male"
"8","1900",2109000,"White","Female"
"8","1900",260000,"NonWhite","Male"
"8","1900",251000,"NonWhite","Female"
"9","1900",2069000,"White","Male"
"9","1900",1806000,"White","Female"
"9","1900",205000,"NonWhite","Male"
"9","1900",197000,"NonWhite","Female"
"10","1900",1663000,"White","Male"
"10","1900",1459000,"White","Female"
"10","1900",188000,"NonWhite","Male"
"10","1900",165000,"NonWhite","Female"
"11","1900",1406000,"White","Male"
"11","1900",1243000,"White","Female"
"11","1900",171000,"NonWhite","Male"
"11","1900",142000,"NonWhite","Female"
"12","1900",1047000,"White","Male"
"12","1900",985000,"White","Female"
"12","1900",106000,"NonWhite","Male"
"12","1900",86000,"NonWhite","Female"
"13","1900",831000,"White","Male"
"13","1900",799000,"White","Female"
"13","1900",92000,"NonWhite","Male"
"13","1900",80000,"NonWhite","Female"
"14","1900",613000,"White","Male"
"14","1900",589000,"White","Female"
"14","1900",60000,"NonWhite","Male"
"14","1900",50000,"NonWhite","Female"
"15","1900",414000,"White","Male"
"15","1900",399000,"White","Female"
"15","1900",37000,"NonWhite","Male"
"15","1900",38000,"NonWhite","Female"
"16","1900",398000,"White","Male"
"16","1900",410000,"White","Female"
"16","1900",43000,"NonWhite","Male"
"16","1900",48000,"NonWhite","Female"
"1","1910",4749000,"White","Male"
"1","1910",4614000,"White","Female"
"1","1910",652000,"NonWhite","Male"
"1","1910",656000,"NonWhite","Female"
"2","1910",4306000,"White","Male"
"2","1910",4208000,"White","Female"
"2","1910",640000,"NonWhite","Male"
"2","1910",649000,"NonWhite","Female"
"3","1910",4024000,"White","Male"
"3","1910",3931000,"White","Female"
"3","1910",597000,"NonWhite","Male"
"3","1910",595000,"NonWhite","Female"
"4","1910",4014000,"White","Male"
"4","1910",3983000,"White","Female"
"4","1910",529000,"NonWhite","Male"
"4","1910",569000,"NonWhite","Female"
"5","1910",4099000,"White","Male"
"5","1910",3938000,"White","Female"
"5","1910",514000,"NonWhite","Male"
"5","1910",566000,"NonWhite","Female"
"6","1910",3824000,"White","Male"
"6","1910",3488000,"White","Female"
"6","1910",456000,"NonWhite","Male"
"6","1910",475000,"NonWhite","Female"
"7","1910",3327000,"White","Male"
"7","1910",2992000,"White","Female"
"7","1910",364000,"NonWhite","Male"
"7","1910",348000,"NonWhite","Female"
"8","1910",3051000,"White","Male"
"8","1910",2729000,"White","Female"
"8","1910",348000,"NonWhite","Male"
"8","1910",325000,"NonWhite","Female"
"9","1910",2559000,"White","Male"
"9","1910",2261000,"White","Female"
"9","1910",253000,"NonWhite","Male"
"9","1910",233000,"NonWhite","Female"
"10","1910",2185000,"White","Male"
"10","1910",1915000,"White","Female"
"10","1910",222000,"NonWhite","Male"
"10","1910",194000,"NonWhite","Female"
"11","1910",1936000,"White","Male"
"11","1910",1652000,"White","Female"
"11","1910",197000,"NonWhite","Male"
"11","1910",153000,"NonWhite","Female"
"12","1910",1378000,"White","Male"
"12","1910",1210000,"White","Female"
"12","1910",126000,"NonWhite","Male"
